# tier	repo	local_dir
core	yagjzx/bladeai	bladeai
core	yagjzx/dev-env	dev-env
core	yagjzx/crypto-backtest	crypto-backtest
core	yagjzx/quant-backtest	quant-backtest
core	yagjzx/quant-lab	quant-lab
core	yagjzx/ntws	ntws
core	yagjzx/longxia-market	longxia-market
core	yagjzx/ig-recruit-radar	ig-recruit-radar
core	yagjzx/xai-radar	xai-radar
core	yagjzx/claude-memory	claude-memory
core	yagjzx/ai-expert-monitor	ai-expert-monitor
core	yagjzx/whisper-vocab	whisper-vocab
core	yagjzx/NeoAI	NeoAI
core	heydoraai/clawforce	clawforce
core	heydoraai/clawforce-lobster-fleet	clawforce-lobster-fleet
core	heydoraai/seedforge	seedforge
core	heydoraai/gtm-engine	gtm-engine
core	heydoraai/dev-env	heydoraai-dev-env
core	heydoraai/devcontainer	devcontainer
full	heydoraai/autocollab	autocollab
full	heydoraai/chatterbox	chatterbox
full	heydoraai/claw-devops	claw-devops
full	heydoraai/clawadmin	clawadmin
full	heydoraai/clawforce-admin	clawforce-admin
full	heydoraai/clawforce-marketing	clawforce-marketing
full	heydoraai/clawforce-verifier	clawforce-verifier
full	heydoraai/clawgrid-social	clawgrid-social
full	heydoraai/clawmesh	clawmesh
full	heydoraai/clawscraper	clawscraper
full	heydoraai/crawler	crawler
full	heydoraai/dev-infra	dev-infra
full	heydoraai/dora-admin	dora-admin
full	heydoraai/dora-asr	dora-asr
full	heydoraai/dora-creator	dora-creator
full	heydoraai/dora-data	dora-data
full	heydoraai/dora-devops	dora-devops
full	heydoraai/dora-h5	dora-h5
full	heydoraai/dora-http	dora-http
full	heydoraai/dora-ios	dora-ios
full	heydoraai/dora-llm	dora-llm
full	heydoraai/dora-parent	dora-parent
full	heydoraai/dora-python	dora-python
full	heydoraai/dora-web	dora-web
full	heydoraai/lab	lab
full	heydoraai/openclaw-radar	openclaw-radar
full	heydoraai/owners	owners
full	heydoraai/proxy-gateway	proxy-gateway
full	heydoraai/residential-proxy-gateway	residential-proxy-gateway
full	heydoraai/talent-radar	talent-radar
full	yagjzx/ai-collab	ai-collab
large	heydoraai/coqui-ai-TTS	coqui-ai-TTS
large	heydoraai/CosyVoice	CosyVoice
large	heydoraai/F5-TTS	F5-TTS
large	heydoraai/fish-speech	fish-speech
large	heydoraai/GPT-SoVITS	GPT-SoVITS
